,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy
4372,바지,트레이닝/조거 팬츠,VELOUR TRACK PANTS NAVY,YHPTDC003NV,0,0,1,1.0,"('24~28세', '29~33세')",550.0,294,90300.0,30,4.0,5.0,1,
4374,바지,코튼 팬츠,베이직 코튼 스판 세미 부츠컷 팬츠,ZC10QL403ON,0,0,1,,"('40세~', 0)",200.0,35,75900.0,53,4.0,,0,
4375,바지,코튼 팬츠,WILLIS 면 밴딩 팬츠,JCLA20F_CPFAA,0,0,1,,"('~18세', 0)",100.0,17,20000.0,80,4.0,4.0,4,
4376,스포츠/용품,하의,액티브 퍼포먼스 자가드 팬츠 - Black,23F1PT004,0,0,0,0.0,"('29~33세', 0)",1800.0,314,59000.0,34,4.0,5.0,16,50.0
4377,스포츠/용품,하의,2324 Infinite Pants - Black (인피니트 보드복 팬츠),Log,0,0,2,,"(0, 0)",450.0,17,215000.0,20,6.0,,0,
4378,바지,코튼 팬츠,Camoflage Pocket Pants - Khaki,13,0,0,1,,"('19~23세', 0)",750.0,376,70850.0,35,4.0,4.0,1,
4380,바지,슈트 팬츠/슬랙스,벨티드 투턱 울 슬랙스 브라운,FA2204PT01BR,1,0,2,0.0,"('24~28세', 0)",1800.0,418,76300.0,30,4.0,4.9,9,50.0
4381,바지,데님 팬츠,커팅라인 데님 팬츠 블루,2271350,1,0,0,0.0,"('24~28세', 0)",200.0,297,35600.0,60,4.0,4.8,12,50.0
4382,스포츠/용품,하의,투인원 서포트 쇼츠,E,0,0,0,0.0,"('24~28세', 0)",900.0,863,51900.0,35,4.0,4.9,115,550.0
4383,바지,데님 팬츠,멀티 카고 데님 팬츠 블랙,RR23FW04,0,0,0,0.0,"('24~28세', 0)",2700.0,429,216600.0,5,5.0,4.9,11,50.0
4384,바지,데님 팬츠,1009 RAW SLIM GENOA,CDIM875,0,0,1,,"(0, 0)",150.0,180,20700.0,70,4.0,4.2,27,
4385,스포츠/용품,하의,해리 스키복 팬츠 화이트 여성용,5001904011,0,0,1,,"(0, 0)",400.0,106,161100.0,10,4.0,,0,
4386,스포츠/용품,하의,액티브 하프팬츠_카키,BE2MSP107,1,0,0,,"(0, 0)",500.0,30,69000.0,0,4.0,,0,
4387,바지,슈트 팬츠/슬랙스,XP173 빅 와이드 벌룬 벨티드 슬랙스 (GRAY),xp173GR,1,0,2,0.0,"('19~23세', 0)",1800.0,906,49500.0,50,4.0,4.8,29,100.0
4388,바지,트레이닝/조거 팬츠,타프 파라슈트 팬츠 (블랙),TAPP004-BK,0,0,2,0.0,"('24~28세', 0)",700.0,1881,57400.0,30,5.0,4.8,225,750.0
4390,스포츠/용품,하의,우먼즈 히트온 유발 타이즈 레깅스_블랙,2309272,0,0,1,1.0,"(0, 0)",450.0,154,7900.0,79,4.0,4.8,28,100.0
4391,바지,트레이닝/조거 팬츠,레더 패치 코튼 스웻 팬츠 블랙,23SL2DR002,0,0,0,0.0,"('19~23세', 0)",1100.0,228,104250.0,25,4.0,5.0,6,50.0
4392,바지,데님 팬츠,Vintage raw jean,P0000FMJ,0,0,1,1.0,"('24~28세', 0)",2300.0,471,138000.0,0,4.0,5.0,7,50.0
4393,바지,데님 팬츠,뉴트로 투턱 와이드 데님팬츠(블랙),MM3SDPWD-068BK,0,0,0,0.0,"('19~23세', 0)",4200.0,1283,90300.0,30,4.0,4.9,155,550.0
4394,스포츠/용품,하의,빕 멜빵 보드복 팬츠,DSW02129,0,0,0,1.0,"('24~28세', 0)",1200.0,426,129000.0,0,4.0,5.0,40,50.0
4395,스포츠/용품,하의,와이드 트위스트 스웨트 팬츠 블랙,233WPT59,0,0,0,0.0,"('24~28세', 0)",750.0,115,77350.0,35,4.0,5.0,11,50.0
4396,바지,데님 팬츠,스타-스티치 2라인 데님 팬츠 (브라운),HM23FW722430,0,0,2,0.0,"('19~23세', 0)",3800.0,740,117800.0,5,4.0,5.0,10,50.0
4397,바지,데님 팬츠,스탠다드 크롭진 블루,AY17-STCR001,0,0,0,,"('40세~', 0)",1000.0,428,17800.0,80,7.0,4.9,128,
4398,바지,코튼 팬츠,"BIG COMBAT CARGO PANTS, COATED BLACK",QB3PT14BK,0,0,0,,"('~18세', 0)",850.0,143,196200.0,10,4.0,,0,
4399,바지,슈트 팬츠/슬랙스,203 SOLID SILHOUETTE WIDE PANTS [MELANGE GREY],BRWLPT203MG,0,0,0,0.0,"('29~33세', 0)",2000.0,103,80100.0,10,4.0,4.8,16,50.0
4400,바지,트레이닝/조거 팬츠,와이드 트레이닝 팬츠(레드),lp0558,0,0,0,0.0,"('40세~', 0)",700.0,56,41000.0,0,4.0,4.6,8,50.0
