,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy,score,buy_age1,buy_age2
2545,바지,슈트 팬츠/슬랙스,벨티드 올데이 쓰리턱 팬츠 _ Light Khaki,22SS-TYP08,0,0,0,0.0,"('19~23세', 0)",6300.0,4909,54400.0,20,5.0,4.8,323,750.0,0.9883720930232558,2,0
2546,스포츠/용품,하의,HVN 올데이 탄성팬츠 블랙,8-2,0,0,0,0.0,"('24~28세', 0)",2100.0,1402,35000.0,10,5.0,4.8,429,1500.0,0.9767441860465116,3,0
2547,스포츠/용품,하의,우먼스 버뮤다 스웨트 쇼츠 3 color,HD23FHP01W01,0,0,1,1.0,"('24~28세', 0)",2000.0,791,41600.0,20,6.0,4.9,67,200.0,0.9848484848484848,3,0
2548,스포츠/용품,하의,에어스트 에센셜 슬림핏 조거팬츠_블랙,AKFJL-03BLK,0,0,1,1.0,"('40세~', 0)",900.0,665,59000.0,14,5.0,4.8,136,200.0,0.9886363636363636,6,0
2549,바지,슈트 팬츠/슬랙스,W301 Reve Pleats Wool Trousers (Gray),5003839719,0,0,0,0.0,"('29~33세', 0)",1900.0,184,123200.0,20,6.0,5.0,11,50.0,1.0,4,0
2550,바지,코튼 팬츠,Chillin Tucked Pants/Camo,214002-014,0,0,0,0.0,"('19~23세', 0)",1500.0,2802,149000.0,0,5.0,4.9,310,350.0,0.9534883720930232,2,0
2551,스포츠/용품,하의,남성 프로웹 세트 팬츠 SPHPCNFP211MBLK,SPHPCNFP211MBLK,0,0,0,0.0,"('40세~', 0)",800.0,94,55600.0,60,5.0,5.0,9,50.0,1.0,6,0
2552,바지,점프 슈트/오버올,VINTAGE DISTRESSED DENIM OVERALLS [BLACK],P0000CGC_5,0,0,1,1.0,"('19~23세', 0)",1400.0,4273,158400.0,20,5.0,4.8,91,300.0,0.9054054054054054,2,0
2553,스포츠/용품,하의,[1+1]플리스 조거팬츠 세트,011F21,0,0,1,1.0,"('40세~', 0)",2300.0,230,49800.0,0,5.0,5.0,11,50.0,0.9545454545454546,6,0
2554,바지,숏 팬츠,윅 니트 팬츠_NAVY,G23SSKN221NV,0,0,1,1.0,"('29~33세', 0)",1300.0,890,86400.0,20,5.0,4.8,16,50.0,1.0,4,0
2555,바지,숏 팬츠,프리미엄 세미와이드 카고 쇼트,SSSSWCBK,1,0,0,0.0,"('29~33세', 0)",2700.0,9618,37900.0,36,5.0,4.8,3027,8100.0,0.9302325581395348,4,0
